timestamp,price_THB,price_USD
2022-12-18 12:29:00 UTC,602216.1622,16709.66
2022-12-18 12:34:00 UTC,602003.4461,16703.7578
2022-12-18 12:39:00 UTC,602380.4332,16714.218
2022-12-18 12:44:00 UTC,602480.9855,16717.0081
2022-12-18 12:49:00 UTC,602484.9971,16717.1194
2022-12-18 12:54:00 UTC,602529.3692,16718.3506
2022-12-18 12:59:00 UTC,602354.9335,16713.5105
2022-12-18 13:04:00 UTC,602447.8608,16716.089
2022-12-18 13:09:00 UTC,602366.5852,16713.8338
2022-12-18 13:14:00 UTC,602599.0136,16720.283
2022-12-18 13:19:00 UTC,602525.9512,16718.2557
2022-12-18 15:29:00 UTC,601399.1858,16686.9914
2022-12-18 15:34:00 UTC,601479.5143,16689.2203
2022-12-18 15:39:00 UTC,601453.0451,16688.4859
2022-12-18 15:44:00 UTC,601681.4662,16694.8238
2022-12-18 15:49:00 UTC,601617.8524,16693.0588
2022-12-18 15:54:00 UTC,601226.8602,16682.2099
2022-12-18 15:59:00 UTC,601333.6982,16685.1743
2022-12-18 16:04:00 UTC,601402.327,16687.0786
2022-12-18 16:09:00 UTC,601486.6336,16689.4178
2022-12-18 16:14:00 UTC,601605.0748,16692.7042
2022-12-18 16:19:00 UTC,601591.6221,16692.3309
2022-12-18 16:24:00 UTC,601491.5527,16689.5543
2022-12-18 11:24:00 UTC,601856.8779,16699.691
2022-12-18 11:29:00 UTC,602272.0919,16711.2119
2022-12-18 11:34:00 UTC,602468.8934,16716.6725
2022-12-18 11:39:00 UTC,602706.8882,16723.2762
2022-12-18 11:44:00 UTC,602595.4716,16720.1847
2022-12-18 11:49:00 UTC,602440.6474,16715.8888
2022-12-18 11:54:00 UTC,602102.3857,16706.5031
2022-12-18 11:59:00 UTC,602159.703,16708.0935
2022-12-18 12:04:00 UTC,602412.7499,16715.1147
2022-12-18 12:09:00 UTC,602261.4565,16710.9168
2022-12-18 12:14:00 UTC,602122.3875,16707.0581
2022-12-18 12:19:00 UTC,602076.2098,16705.7768
2022-12-18 06:44:00 UTC,602800.8996,16725.8847
2022-12-18 06:49:00 UTC,602912.2434,16728.9742
2022-12-18 06:54:00 UTC,603091.3954,16733.9451
2022-12-18 06:59:00 UTC,603041.6933,16732.566
2022-12-18 07:04:00 UTC,603490.7359,16745.0256
2022-12-18 07:09:00 UTC,603486.7755,16744.9157
2022-12-18 07:14:00 UTC,603654.4487,16749.5681
2022-12-18 07:19:00 UTC,603299.7758,16739.727
2022-12-18 07:24:00 UTC,603386.9645,16742.1462
2022-12-18 07:29:00 UTC,603631.205,16748.9231
2022-12-18 07:34:00 UTC,603741.4774,16751.9829
2022-12-18 07:39:00 UTC,603766.5706,16752.6791
2022-12-18 09:24:00 UTC,603272.0109,16738.9566
2022-12-18 09:29:00 UTC,601899.403,16700.8709
2022-12-18 09:34:00 UTC,601365.9472,16686.0692
2022-12-18 09:39:00 UTC,601267.0913,16683.3262
2022-12-18 09:44:00 UTC,602521.6163,16718.1354
2022-12-18 09:49:00 UTC,602237.6366,16710.2559
2022-12-18 09:54:00 UTC,601441.717,16688.1715
2022-12-18 09:59:00 UTC,601760.2742,16697.0105
2022-12-18 10:04:00 UTC,601908.2357,16701.116
2022-12-18 10:09:00 UTC,602179.4089,16708.6402
2022-12-18 10:14:00 UTC,602396.973,16714.677
2022-12-18 10:19:00 UTC,601720.8745,16695.9173
2022-12-18 08:19:00 UTC,603890.9403,16756.13
2022-12-18 08:24:00 UTC,603565.9625,16747.1129
2022-12-18 08:29:00 UTC,603469.9098,16744.4477
2022-12-18 08:34:00 UTC,603565.8487,16747.1097
2022-12-18 08:39:00 UTC,603720.9479,16751.4132
2022-12-18 08:44:00 UTC,603862.7707,16755.3484
2022-12-18 08:49:00 UTC,603846.3289,16754.8922
2022-12-18 08:54:00 UTC,603974.3275,16758.4437
2022-12-18 08:59:00 UTC,603777.2553,16752.9756
2022-12-18 09:04:00 UTC,603785.4184,16753.2021
2022-12-18 09:09:00 UTC,603567.8828,16747.1661
2022-12-18 09:14:00 UTC,603450.6219,16743.9125
2022-12-18 09:19:00 UTC,603311.4001,16740.0495
2022-12-18 07:44:00 UTC,603671.5767,16750.0433
2022-12-18 07:49:00 UTC,603279.5109,16739.1647
2022-12-18 07:54:00 UTC,603594.2907,16747.8989
2022-12-18 07:59:00 UTC,603612.8452,16748.4137
2022-12-18 08:04:00 UTC,603871.1695,16755.5814
2022-12-18 08:09:00 UTC,604055.7901,16760.7041
2022-12-18 08:14:00 UTC,603664.3316,16749.8423
2022-12-18 10:24:00 UTC,602253.5598,16710.6977
2022-12-18 10:29:00 UTC,602375.3126,16714.076
2022-12-18 10:34:00 UTC,601495.2962,16689.6582
2022-12-18 10:39:00 UTC,601760.4536,16697.0155
2022-12-18 10:44:00 UTC,601878.5178,16700.2914
2022-12-18 10:49:00 UTC,602150.4875,16707.8378
2022-12-18 10:54:00 UTC,602249.0566,16710.5727
2022-12-18 10:59:00 UTC,602001.4034,16703.7011
2022-12-18 11:04:00 UTC,602016.2876,16704.1141
2022-12-18 11:09:00 UTC,602155.0599,16707.9646
2022-12-18 11:14:00 UTC,602423.1125,16715.4023
2022-12-18 11:19:00 UTC,601943.0665,16702.0825
2022-12-18 17:29:00 UTC,601491.0262,16689.5397
2022-12-18 17:34:00 UTC,601746.2218,16696.6206
2022-12-18 17:39:00 UTC,601480.4762,16689.247
2022-12-18 17:44:00 UTC,601319.3846,16684.7772
2022-12-18 17:49:00 UTC,601799.9798,16698.1122
2022-12-18 17:54:00 UTC,601792.7945,16697.9129
2022-12-18 17:59:00 UTC,602214.9454,16709.6263
2022-12-18 18:04:00 UTC,604237.5071,16765.7462
2022-12-18 18:09:00 UTC,603503.0281,16745.3666
2022-12-18 18:14:00 UTC,604280.9688,16766.9521
2022-12-18 18:19:00 UTC,604731.1315,16779.4427
2022-12-18 18:24:00 UTC,604417.1009,16770.7294
2022-12-18 18:29:00 UTC,603969.4693,16758.3089
2022-12-18 18:34:00 UTC,604154.8763,16763.4534
2022-12-18 18:39:00 UTC,603551.4078,16746.709
2022-12-18 18:44:00 UTC,603369.9677,16741.6746
2022-12-18 18:49:00 UTC,603342.7059,16740.9182
2022-12-18 18:54:00 UTC,602620.6827,16720.8842
2022-12-18 18:59:00 UTC,603377.0358,16741.8707
2022-12-18 19:04:00 UTC,603615.599,16748.4901
2022-12-18 19:09:00 UTC,603576.3158,16747.4001
2022-12-18 19:14:00 UTC,603397.402,16742.4358
2022-12-18 19:19:00 UTC,603230.73,16737.8112
2022-12-18 19:24:00 UTC,603769.0166,16752.747
2022-12-18 16:29:00 UTC,601608.7775,16692.807
2022-12-18 16:34:00 UTC,601387.0778,16686.6555
2022-12-18 16:39:00 UTC,601468.6385,16688.9185
2022-12-18 16:44:00 UTC,601063.3373,16677.6727
2022-12-18 16:49:00 UTC,601187.1531,16681.1082
2022-12-18 16:54:00 UTC,601456.8361,16688.591
2022-12-18 16:59:00 UTC,601697.8302,16695.2779
2022-12-18 17:04:00 UTC,601846.8668,16699.4132
2022-12-18 17:09:00 UTC,601540.9019,16690.9236
2022-12-18 17:14:00 UTC,601263.377,16683.2231
2022-12-18 17:19:00 UTC,601150.7203,16680.0973
2022-12-18 17:24:00 UTC,601165.3925,16680.5044
2022-12-18 20:24:00 UTC,604019.3915,16759.6941
2022-12-18 20:29:00 UTC,604114.4813,16762.3326
2022-12-18 20:34:00 UTC,604093.5737,16761.7525
2022-12-18 20:39:00 UTC,604348.9863,16768.8394
2022-12-18 20:44:00 UTC,604405.0956,16770.3962
2022-12-18 20:49:00 UTC,604278.6683,16766.8883
2022-12-18 20:54:00 UTC,604004.8242,16759.2899
2022-12-18 20:59:00 UTC,603831.6469,16754.4848
2022-12-18 21:04:00 UTC,603716.9961,16751.3036
2022-12-18 21:09:00 UTC,604258.2445,16766.3216
2022-12-18 21:14:00 UTC,604274.7321,16766.7791
2022-12-18 21:19:00 UTC,603431.7986,16743.3902
2022-12-18 21:24:00 UTC,603369.4501,16741.6602
2022-12-18 19:29:00 UTC,603719.4775,16751.3724
2022-12-18 19:34:00 UTC,603659.5963,16749.7109
2022-12-18 19:39:00 UTC,603652.886,16749.5247
2022-12-18 19:44:00 UTC,603565.1776,16747.0911
2022-12-18 19:49:00 UTC,603416.6697,16742.9704
2022-12-18 19:54:00 UTC,603571.4183,16747.2642
2022-12-18 19:59:00 UTC,603690.6851,16750.5735
2022-12-18 20:04:00 UTC,604250.9821,16766.1201
2022-12-18 20:09:00 UTC,604115.0453,16762.3482
2022-12-18 20:14:00 UTC,604009.22,16759.4119
2022-12-18 20:19:00 UTC,604343.8243,16768.6962
2022-12-18 21:29:00 UTC,603455.1399,16744.0379
2022-12-18 21:34:00 UTC,603380.7562,16741.974
2022-12-18 21:39:00 UTC,603365.7009,16741.5562
2022-12-18 21:44:00 UTC,603452.0138,16743.9511
2022-12-18 21:49:00 UTC,603552.5917,16746.7419
2022-12-18 21:54:00 UTC,603634.6047,16749.0175
2022-12-18 21:59:00 UTC,603666.5289,16749.9033
2022-12-18 22:04:00 UTC,603715.8529,16751.2719
2022-12-18 22:09:00 UTC,604136.2974,16762.9379
2022-12-18 22:14:00 UTC,604577.6612,16775.1844
2022-12-18 22:19:00 UTC,604607.1823,16776.0035
2022-12-18 22:24:00 UTC,604241.8971,16765.868
2022-12-18 22:29:00 UTC,604306.3957,16767.6576
2022-12-18 22:34:00 UTC,604354.1473,16768.9826
2022-12-18 22:39:00 UTC,606127.5593,16818.1894
2022-12-18 22:44:00 UTC,605199.2824,16792.4325
2022-12-18 22:49:00 UTC,602947.1301,16729.9422
2022-12-18 22:54:00 UTC,604162.4984,16763.6649
2022-12-18 22:59:00 UTC,604034.2353,16760.106
2022-12-18 23:04:00 UTC,605189.7733,16792.1687
2022-12-18 23:09:00 UTC,605015.4539,16787.3318
2022-12-18 23:14:00 UTC,605536.9992,16801.8031
2022-12-18 23:19:00 UTC,605288.8533,16794.9178
2022-12-18 23:24:00 UTC,605140.5877,16790.8039
2022-12-18 23:29:00 UTC,604912.6934,16784.4805
2022-12-18 23:34:00 UTC,604703.8567,16778.686
2022-12-18 23:39:00 UTC,604622.5584,16776.4302
2022-12-18 23:44:00 UTC,604803.8007,16781.4591
2022-12-18 23:49:00 UTC,604372.6726,16769.4966
2022-12-18 23:54:00 UTC,603920.2105,16756.9422
2022-12-18 23:59:00 UTC,603378.1131,16741.9006
2022-12-16 01:49:00 UTC,626273.7274,17377.184
2022-12-16 01:59:00 UTC,626320.6305,17378.4854
2022-12-16 02:04:00 UTC,626996.5802,17397.241
2022-12-16 02:09:00 UTC,627027.6651,17398.1035
